,ID,Name,Latitude,Longitude
157,SN24960,GOL - STAKE,60.7188,8.9478
158,SN1050,HVALER - SKJÆRHALLEN,59.02,11.0
159,SN26898,DRAMMEN - ÅSSIDEN,59.7538,10.1382
160,SN23300,FV51 GOLSFJELLET,60.8175,9.1185
161,SN26790,MJØNDALEN - ORKIDEHØGDA,59.7498,10.0275
162,SN26862,DRAMMEN TINGHUS,59.744,10.2118
163,SN24350,RV35 NAKKERUD,60.0518,10.049
164,SN19810,RØYKEN - SKOGSBORG,59.6919,10.5198
165,SN25115,HEMSEDAL SKISENTER,60.8397,8.4968
166,SN19490,GJETTUM PLU,59.90585,10.5122
167,SN29350,UVDAL KRAFTVERK,60.255,8.7057
168,SN1600,FV21 AREBEKKEN,59.2543,11.6843
169,SN1950,ØRJE,59.4829,11.6506
170,SN4543,RV4 STRYKEN,60.157,10.7217
171,SN17875,E18 HOLSTAD,59.685,10.8312
172,SN2650,AURSKOG II,59.9119,11.5801
173,SN3780,IGSI I HOBØL,59.636,11.0468
174,SN29700,FV40 DAGALIFJELL,60.3738,8.4885
175,SN2560,FV169 ÅSERUD,59.8388,11.3625
176,SN4740,UKKESTAD,60.1742,11.051
177,SN26820,HOKKSUND,59.7613,9.8922
178,SN4830,SØRUMSAND,59.98,11.25
179,SN26380,EGGEDAL III,60.2475,9.3443
180,SN26802,MJØNDALEN - ÅSEN,59.7328,10.0258
181,SN19840,HURUM - KLOKKARSTUA,59.62,10.47
182,SN28922,VEGGLI II,60.0435,9.1468
183,SN4725,E16 GARDERMOEN,60.1677,11.1165
184,SN3720,ASKIM - KYKKELSRUD,59.5873,11.0962
185,SN26670,HAKAVIK,59.62515,9.9534
186,SN19663,E16 SOLLIHØGDA VEST,59.964,10.3435
187,SN25100,HEMSEDAL - HØLTO,60.8703,8.5285
188,SN11463,E6 MINNESUND,60.3977,11.2303
189,SN26060,SKOTSELV,59.8387,9.8948
190,SN19780,ASKER - VOLLEN,59.8005,10.4895
191,SN3810,ASKIM II,59.5872,11.166
